"Informazioni cronologiche","Codice utente","Genere","Età","Hai mai usato caschi per la realtà virtuale come l’Oculus Rift, l'HTC Vive o il Playstation VR?","Se sì, per quante ore in tutto?","In media, quante ore a settimana giochi ai videogiochi?"
"2021/11/03 1:56:04 PM CET","U01","M","23","No","0","15"
"2021/11/03 3:04:57 PM CET","U02","M","21","Sì","1","1"
"2021/11/03 4:02:03 PM CET","U03","F","23","Sì","1,5","0"
"2021/11/04 9:30:13 AM CET","U04","M","21","No","0","5"
"2021/11/04 11:13:48 AM CET","U06","M","22","Sì","0,5","8 "
"2021/11/04 2:11:24 PM CET","U07","F","21","No","0","2"
"2021/11/04 3:16:50 PM CET","U08","F","20","No","0","0"
"2021/11/04 4:19:28 PM CET","U09","F","28","No","0","0"
"2021/11/05 9:30:23 AM CET","U10","F","23","No","0","0"
"2021/11/05 10:32:28 AM CET","U11","M","21","Sì","1","8"
"2021/11/05 11:31:07 AM CET","U12","M","20","No","0","15"
"2021/11/08 11:27:01 AM CET","U14","M","25","No","0","18"
"2021/11/08 3:15:24 PM CET","U15","M","21","Sì","1","2"
"2021/11/08 4:11:01 PM CET","U16","M","24","Sì","5","3"
"2021/11/09 9:31:19 AM CET","U17","M","21","No","0","4"
"2021/11/09 10:24:46 AM CET","U18","M","21","No","0","7"
"2021/11/09 11:36:45 AM CET","U19","M","23","No","0","0"
"2021/11/09 1:59:48 PM CET","U20","M","21","No","0","3"
"2021/11/09 3:00:13 PM CET","U21","F","25","Sì","2","1,5"
"2021/11/09 4:05:21 PM CET","U22","F","21","No","0","0"
"2021/11/10 9:36:54 AM CET","U23","M","23","No","0","2"
"2021/11/10 11:55:34 AM CET","U24","F","24","No","0","0"
"2021/11/10 2:03:06 PM CET","U25","M","25","Sì","20","10"
"2021/11/10 2:59:32 PM CET","U26","M","24","No","0","0"
"2021/11/10 3:57:05 PM CET","U27","M","25","Sì","0,15","2"
