Utente;Data;Ora;OBJ Position
U01CV;03/11/2021;14:01:12;Cylinder(Clone): True si trova nella posizione corretta.
U01CV;03/11/2021;14:00:27;Cube(Clone): False si trova nella posizione sbagliata.
U01CV;03/11/2021;14:00:21;Sphere(Clone): False si trova nella posizione sbagliata.
U02CV;03/11/2021;15:29:34;Cylinder(Clone): True si trova nella posizione corretta.
U02CV;03/11/2021;15:29:29;Cube(Clone): True si trova nella posizione corretta.
U02CV;03/11/2021;15:29:32;Sphere(Clone): True si trova nella posizione corretta.
U03CV;03/11/2021;16:05:37;Cylinder(Clone): True si trova nella posizione corretta.
U03CV;03/11/2021;16:05:31;Cube(Clone): True si trova nella posizione corretta.
U03CV;03/11/2021;16:05:40;Sphere(Clone): True si trova nella posizione corretta.
U04CV;04/11/2021;09:34:04;Cylinder(Clone): True si trova nella posizione corretta.
U04CV;04/11/2021;09:34:05;Cube(Clone): True si trova nella posizione corretta.
U04CV;04/11/2021;09:33:59;Sphere(Clone): True si trova nella posizione corretta.
U05CV;04/11/2021;10:32:48;Cylinder(Clone): False si trova nella posizione sbagliata.
U05CV;04/11/2021;10:32:45;Cube(Clone): True si trova nella posizione corretta.
U05CV;04/11/2021;10:32:34;Sphere(Clone): False si trova nella posizione sbagliata.
U06CV;04/11/2021;11:32:19;Cylinder(Clone): True si trova nella posizione corretta.
U06CV;04/11/2021;11:32:14;Cube(Clone): True si trova nella posizione corretta.
U06CV;04/11/2021;11:32:16;Sphere(Clone): True si trova nella posizione corretta.
U07CV;04/11/2021;14:16:14;Cylinder(Clone): True si trova nella posizione corretta.
U07CV;04/11/2021;14:16:02;Cube(Clone): True si trova nella posizione corretta.
U07CV;04/11/2021;14:16:07;Sphere(Clone): True si trova nella posizione corretta.
U08CV;04/11/2021;15:40:34;Cylinder(Clone): False si trova nella posizione sbagliata.
U08CV;04/11/2021;15:40:58;Cube(Clone): True si trova nella posizione corretta.
U08CV;04/11/2021;15:40:28;Sphere(Clone): False si trova nella posizione sbagliata.
U09CV;04/11/2021;16:23:31;Cylinder(Clone): True si trova nella posizione corretta.
U09CV;04/11/2021;16:23:22;Cube(Clone): False si trova nella posizione sbagliata.
U09CV;04/11/2021;16:23:13;Sphere(Clone): False si trova nella posizione sbagliata.
U10CV;05/11/2021;09:52:13;Cylinder(Clone): True si trova nella posizione corretta.
U10CV;05/11/2021;09:52:16;Cube(Clone): True si trova nella posizione corretta.
U10CV;05/11/2021;09:52:10;Sphere(Clone): True si trova nella posizione corretta.
U11CV;05/11/2021;10:59:59;Cylinder(Clone): True si trova nella posizione corretta.
U11CV;05/11/2021;11:00:02;Cube(Clone): True si trova nella posizione corretta.
U11CV;05/11/2021;10:59:56;Sphere(Clone): True si trova nella posizione corretta.
U12CV;05/11/2021;11:52:23;Cylinder(Clone): True si trova nella posizione corretta.
U12CV;05/11/2021;11:52:24;Cube(Clone): True si trova nella posizione corretta.
U12CV;05/11/2021;11:52:20;Sphere(Clone): True si trova nella posizione corretta.
